FREQ,REF_AREA,CES_BREAKDOWN,CES_CUSTOM,CES_VARIABLE,CES_ANSWER,CES_DENOM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,TIME_FORMAT,COLLECTION,DECIMALS,TITLE_COMPL,TITLE,UNIT,UNIT_MULT
M,BE,ALL,T,C1020,NUM_VAR,WA,2020-04,4.3,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2020-04,2.4,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2020-05,4.9,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2020-05,3.1,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2020-06,4.5,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2020-06,3.0,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2020-07,4.4,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2020-07,3.0,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2020-08,4.4,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2020-08,3.0,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2020-09,4.7,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2020-09,3.0,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2020-10,4.8,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2020-10,2.9,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2020-11,3.8,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2020-11,2.4,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2020-12,3.6,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2020-12,2.2,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2021-01,3.8,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2021-01,2.2,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2021-02,3.4,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2021-02,2.1,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2021-03,3.4,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2021-03,2.1,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2021-04,3.6,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2021-04,2.2,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2021-05,3.4,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2021-05,2.1,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2021-06,3.4,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2021-06,2.1,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2021-07,3.7,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2021-07,2.3,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2021-08,4.2,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2021-08,2.5,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2021-09,4.0,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2021-09,2.5,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2021-10,4.8,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2021-10,3.2,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2021-11,5.2,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2021-11,4.0,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2021-12,5.4,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2021-12,4.5,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2022-01,5.6,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2022-01,4.8,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2022-02,6.6,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2022-02,5.5,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WA,2022-03,7.6,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,BE,ALL,T,C1020,NUM_VAR,WM,2022-03,5.9,A,F,P1M,U,1,Monthly - Belgium - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
M,DE,ALL,T,C1020,NUM_VAR,WA,2020-04,3.0,A,F,P1M,U,1,Monthly - Germany - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted average,"Inflation perceptions over the previous 12 months (% change), Weighted average",PN,0
M,DE,ALL,T,C1020,NUM_VAR,WM,2020-04,1.9,A,F,P1M,U,1,Monthly - Germany - No specific breakdown - Total - Inflation perceptions over the previous 12 months (% change) - Numeric variable - Weighted median,"Inflation perceptions over the previous 12 months (% change), Weighted median",PN,0
